headline,publication_date,section_name
"UK estate agents fined £600,000 for price-fixing",2019-12-17T14:45:28Z,Money
UK house price growth picks up speed despite economic uncertainty,2019-11-28T10:59:24Z,Money
UK house price growth to remain low despite talk of 'Boris bounce',2019-12-19T13:52:09Z,Money
Newham in east London has steepest house price rises of the century,2019-12-28T06:00:01Z,Money
Extinction Rebellion: what price could you pay for taking a stand?,2019-10-19T06:00:24Z,Money
We're selling a shared ownership home – what is a fair price?,2019-10-14T06:05:35Z,Money
"Nearby green space can add £2,500 to property price, ONS data shows",2019-10-14T12:55:08Z,Money
UK energy price fears as electricity imports climb to record high,2019-09-01T17:57:22Z,Money
Trouble only started after I faced a 9% Virgin price rise,2019-08-14T06:00:11Z,Money
Are 15-year fixed-rate mortgages a price worth paying for security?,2019-09-01T06:00:16Z,Money
Winter electricity and gas bills fall as Ofgem lowers price cap,2019-08-07T06:53:24Z,Money
Buying cables? Going for gold could mean a rip-off,2019-06-08T07:30:06Z,Money
My aunt wants to sell her house to a friend for a bargain price,2019-09-30T06:01:11Z,Money
Beware! Late to pick up an airport hire car can triple the price,2019-08-20T06:00:42Z,Money
Lower price cap could mean cheaper energy bills for 11m UK homes,2019-08-04T10:01:20Z,Money
Millions could pay more for energy under price cap tweak,2019-06-07T14:12:42Z,Money
First-time buyers benefit from weak house price growth,2019-05-01T08:11:06Z,Money
Call for action to stop buyers paying price for new-build delays,2019-06-23T07:00:44Z,Money
House prices predicted to rise by 2% in UK – with the north leading the way,2019-12-16T00:01:05Z,Money
UK house prices rise despite uncertainty over Brexit and election,2019-12-06T10:21:11Z,Money
After Brilliant Energy collapse we’re facing a 68% price rise,2019-04-08T06:00:42Z,Money
"RWC final ticket prices rocket up to £12,400 on resale websites",2019-10-27T16:32:18Z,Money
"Halifax, why are you treating older customers so shabbily?",2019-11-09T07:51:10Z,Money
"Britons paying 40% more for energy than in 2015, analysis reveals",2019-12-30T00:19:59Z,Money
Theatre seats: here's how to bag them at bargain prices,2019-09-21T06:30:23Z,Money
Thousands face energy price jumps of up to £362 a year as deals end,2019-05-30T05:00:03Z,Money
Are airport duty-free shops always a rip-off?,2019-12-28T07:00:03Z,Money
Are Apple AirPods Pro wireless earbuds really worth it?,2019-11-23T07:00:49Z,Money
UK house price growth stagnates on back of Brexit concerns,2019-01-31T10:30:45Z,Money
London house prices slide for eighth quarter in a row,2019-07-02T13:58:57Z,Money
Cost-cutting couriers turn to get-out clauses for failure to deliver,2019-12-01T09:00:00Z,Money
"House prices could nosedive after no-deal Brexit, says KPMG",2019-09-01T23:01:36Z,Money
London house prices fall at fastest rate in 10 years,2019-07-17T09:41:00Z,Money
I got a home with help-to-buy – can my dad buy it for less than market value?,2019-11-11T07:01:13Z,Money
House prices in south of England fall for first time since 2009,2019-08-14T11:27:18Z,Money
Household bills: loyalty doesn’t pay … and it’s the elderly who pay the price,2019-03-24T08:00:37Z,Money
Brexit jitters grind UK housing market to a halt in August,2019-08-30T17:08:15Z,Money
The real problem in pricing of annuities,2019-03-22T17:01:41Z,Money
Electricity and gas bills: now is the time to switch energy supplier,2019-09-21T06:45:23Z,Money
Seeking a butler who acts just like Jeeves – is this the worst job ad ever?,2019-10-22T16:06:00Z,Money
Big rise in UK energy bills likely this spring despite price cap,2019-01-10T16:29:59Z,Money
Virgin West Coast’s ‘return’ ticket turned into a single issue,2019-11-11T07:01:14Z,Money
Co-op says it has ‘a heart’. So why back-bill for thousands?,2019-09-15T06:00:17Z,Money
State pensions: how you can top up to beat the April price rise,2019-01-19T08:48:36Z,Money
"Property market resilient despite Brexit uncertainty, says Halifax",2019-09-06T12:53:14Z,Money
House prices in England fall for first time since 2012,2019-03-29T08:48:17Z,Money
UK house prices likely to keep falling for another six months,2019-04-11T05:01:09Z,Money
Summer holiday car hire: don't get taken for a ride,2019-06-22T06:00:27Z,Money
Bulb to lower gas prices by 2% for 1 million customers,2019-02-28T14:14:19Z,Money
How can Southern Rail charge two prices for the same journey?,2019-03-18T06:59:30Z,Money
How feasible is Labour's free broadband plan and part-nationalisation of BT?,2019-11-15T10:56:12Z,Money
Rail industry proposes best fare guarantee in pricing overhaul,2019-02-18T00:01:10Z,Money
Mytrip’s hair raising fees … uncovered in the small print,2019-07-24T06:00:14Z,Money
UK house prices grow fastest in north of England and Midlands,2019-01-30T00:01:17Z,Money
"UK house prices make surprise 5.9% rise in February, Halifax says",2019-03-07T12:19:49Z,Money
UK house prices fall in January as Brexit puts off buyers,2019-02-07T11:00:46Z,Money
UK consumers hit by energy and council tax bill rises,2019-03-31T16:31:51Z,Money
UK house prices raised age of ownership by eight years since 1997,2019-02-18T13:26:51Z,Money
Most household bills set for above inflation rises in April,2019-03-16T07:00:37Z,Money
Travel insurance: why cheap policies can cost you dearly,2019-06-16T07:17:33Z,Money
Up to 25% wiped off house prices in some of UK's wealthiest areas,2019-01-21T00:01:08Z,Money
Can my brother force me to sell our late father's cottage?,2019-04-08T06:00:44Z,Money
Average UK car mileage falls again on back of higher petrol prices,2019-01-14T18:51:06Z,Money
What's the best tech to take to university?,2019-08-31T06:01:13Z,Money
Exposed: hidden travel agent fees send air fares sky high,2019-02-10T08:00:34Z,Money
"Money Club took £5,978 from my elderly mother",2019-02-21T07:00:08Z,Money
'They couldn’t do more for you': small details make Torquay B&B a winner,2019-01-23T05:01:03Z,Money
UK house prices fall at fastest rate in six years on back of Brexit – Rics,2019-01-17T00:01:05Z,Money
"UK house prices rise at fastest rate in almost two years, says Halifax",2019-01-08T12:37:13Z,Money
My parents have a 'lifetime mortgage' – what happens if my mother sells?,2019-02-11T07:00:13Z,Money
How women can invest more ethically,2019-04-10T17:07:41Z,Money
Lloyds unveils 100% mortgage for first-time buyers,2019-01-28T06:01:54Z,Money
Why is my insurance more due to other drivers’ mistakes?,2019-01-17T06:59:10Z,Money
My daughter is helping us buy our retirement home – what if we go into care?,2019-06-10T06:48:16Z,Money
"Has the Brexit vote saved London tenants £1,800 pa in rent?",2019-01-14T06:01:29Z,Money
Families facing perfect storm of rises in utility bills,2019-02-10T06:00:27Z,Money
Broken land ownership system fuels inequality,2019-04-21T16:45:06Z,Money
The Money Saving Expert: how Martin Lewis became the most trusted man in Britain,2019-01-31T06:00:14Z,Money
