Date,Adj Close
2025-01-02,2658.9
2025-01-03,2645.0
2025-01-06,2638.4
2025-01-07,2656.7
2025-01-08,2664.5
2025-01-09,2683.8
2025-01-10,2708.5
2025-01-13,2673.5
2025-01-14,2677.5
2025-01-15,2712.5
2025-01-16,2746.4
2025-01-17,2744.3
2025-01-21,2755.0
2025-01-22,2767.6
2025-01-23,2763.1
2025-01-24,2777.3
2025-01-27,2737.5
2025-01-28,2766.8
2025-01-29,2769.1
2025-01-30,2823.0
2025-01-31,2812.5
2025-02-03,2833.9
2025-02-04,2853.3
2025-02-05,2871.6
2025-02-06,2856.0
2025-02-07,2867.3
2025-02-10,2891.0
2025-02-11,2912.5
2025-02-12,2909.0
2025-02-13,2925.9
2025-02-14,2883.6
2025-02-18,2931.6
2025-02-19,2919.4
2025-02-20,2940.0
2025-02-21,2937.6
2025-02-24,2947.9
2025-02-25,2904.5
2025-02-26,2916.8
2025-02-27,2883.2
2025-02-28,2836.8
2025-03-03,2890.2
2025-03-04,2909.6
2025-03-05,2915.3
2025-03-06,2916.6
2025-03-07,2904.7
2025-03-10,2891.0
2025-03-11,2912.9
2025-03-12,2939.1
2025-03-13,2984.3
2025-03-14,2994.5
2025-03-17,3000.0
2025-03-18,3035.1
2025-03-19,3035.9
2025-03-20,3040.0
2025-03-21,3018.2
2025-03-24,3013.1
2025-03-25,3023.7
2025-03-26,3020.9
2025-03-27,3060.2
2025-03-28,3086.5
2025-04-01,3118.9
2025-04-02,3129.9
2025-04-03,3097.0
2025-04-04,3012.0
2025-04-07,2989.0
