headline,publication_date,section_name
Virgin Media announces price rises,2014-11-21T07:00:02Z,Money
Mortgage price war is good news for borrowers,2014-10-12T06:00:04Z,Money
"UK house price growth rate slowing, Halifax says",2014-10-08T09:29:26Z,Money
Fuel price falls again as three supermarkets announce cuts,2014-10-27T16:56:05Z,Money
"£100,000 tiny London flat snapped up after price cut",2014-10-09T10:40:12Z,Money
"House price growth rate slowing despite October rise, says Nationwide",2014-10-30T18:07:44Z,Money
TalkTalk announces sharp price rises for phone and broadband services,2014-10-30T07:01:35Z,Money
Price comparison sites criticised over failings,2014-07-16T09:26:23Z,Money
Car insurance industry faces shakeup over price comparison websites,2014-09-24T10:26:35Z,Money
Home Protect’s £400 price hike for another person's claim,2014-09-15T06:00:28Z,Money
London house prices fall in November,2014-12-22T00:05:06Z,Money
Mortgage price war expected as UK lenders fight for market share,2014-10-07T10:42:25Z,Money
Average house price in England and Wales approaching 2007 peak,2014-09-26T10:36:23Z,Money
Supermarket price war lowers annual cost of food for first time in eight years,2014-12-03T00:01:11Z,Money
Estate agent embarrasses us with our house price flyer,2014-08-08T06:00:00Z,Money
"True impact of price rises hidden by official inflation data, says thinktank",2014-10-14T23:01:06Z,Money
"Payday lenders may vanish within year as result of price cap, says economist",2014-11-10T19:20:30Z,Money
Razor blades that just didn't cut it over price,2014-07-23T06:00:00Z,Money
Money Talks: Phones 4u closes and house price hit new highs,2014-09-18T12:22:35Z,Money
Switch energy supplier if your fixed-price tariff is coming to an end,2014-09-26T06:00:04Z,Money
Npower chief blames high prices on Labour's threatened energy price freeze,2014-08-22T13:43:21Z,Money
Investors counting on property boom despite house price warning,2014-06-22T23:02:00Z,Money
Fleecing the elderly: price rises that shame the insurance industry,2014-07-12T06:00:32Z,Money
UK house price rises for 2014 almost twice as high as predicted,2014-08-26T11:58:04Z,Money
"House prices rose 0.7% in November, Halifax says",2014-12-04T10:03:24Z,Money
Relocation from London up 50% as house prices soar,2014-12-29T00:01:01Z,Money
BA's 'travelling light' fare came with a heavy price to pay,2014-07-17T06:00:01Z,Money
Greenwich leads market with house prices up by quarter in 2014,2014-12-27T00:05:03Z,Money
Tracker fund price war makes DIY investing cheaper than ever,2014-06-20T10:26:12Z,Money
How can I beat this E.ON £500 price hike,2014-06-05T06:00:00Z,Money
Shock as Co-op announces electricity price rise,2014-04-24T12:33:59Z,Money
At a cinema near you – big prices for the big screen ,2014-11-21T10:47:57Z,Money
Grosvenor Crescent: the London street where house prices average £16.9m,2014-12-12T07:00:04Z,Money
House price increase set to slow as gap between supply and demand narrows,2014-08-12T19:14:44Z,Money
Why do the big six energy providers still refuse to pass on price falls?,2014-08-30T06:00:06Z,Money
What the distance from the station does to the price of your house,2014-08-20T14:50:29Z,Money
Londoners flocking out of capital to exploit house price gap,2014-06-01T23:02:00Z,Money
UK house price inflation rises to 7%,2014-03-25T20:12:54Z,Money
Buy a new car – for the price of a year-old model,2014-07-26T06:00:17Z,Money
Nationwide reports highest annual house price rise since 2007,2014-05-01T07:34:00Z,Money
"UK house prices rises in 2015 will be moderate, says Halifax",2014-11-25T12:12:02Z,Money
Negative equity has almost vanished in house price boom,2014-04-27T23:02:02Z,Money
Price of dementia: the families struggling to get NHS help,2014-05-19T06:00:00Z,Money
London house price inflation rate soars to highest level in a decade,2014-06-27T11:06:29Z,Money
