headline,publication_date,section_name
"UK house price growth to slow dramatically in 2018, say experts",2017-12-26T13:29:23Z,Money
Thames Water to halve price increases after failing leak targets,2017-11-28T17:23:51Z,Money
Birmingham area named poorest in UK has fastest house price rises,2017-11-28T00:01:15Z,Money
House prices aren’t the issue – land prices are,2017-11-18T07:00:25Z,Money
Theresa May's energy price cap could last until 2023,2017-10-12T13:39:21Z,Money
Gas and electricity fuel price rises at triple rate of inflation,2017-11-10T12:30:18Z,Money
"More than third of UK home sellers cut asking price, says Rightmove",2017-11-13T07:00:18Z,Money
Buying cut-price designer shoes from hmomastery has proved a costly mistake,2017-11-21T07:00:51Z,Money
"Price cap still possible, government warns energy companies",2017-08-01T19:19:42Z,Money
Slow house price growth and steep rail fare increases,2017-08-17T14:37:41Z,Money
Kensington v Ebbw Vale: floor space price study highlights property divide,2017-10-11T15:24:52Z,Money
"Energy price cap may not be ready for winter 2018, says minister",2017-11-02T10:28:09Z,Money
"Energy price cap will not take effect this winter, says industry",2017-10-06T06:35:34Z,Money
Energy firms say price cap on bills could hit UK roll-out of smart meters,2017-12-11T10:32:08Z,Money
Eurostar’s web of confusion kept raising price of my trip to Paris,2017-10-10T06:00:40Z,Money
Theresa May under pressure to introduce price cap on energy bills,2017-09-29T06:53:42Z,Money
Asda ‘comes to the rescue of drivers’ with 2p petrol price cut,2017-10-04T17:52:23Z,Money
How much …? The rise of dynamic and personalised pricing,2017-11-20T06:00:21Z,Money
Should I renegotiate my offer price after survey points to problems?,2017-07-31T08:51:02Z,Money
We will all pay the price for financial illiteracy,2017-05-27T06:00:20Z,Money
Rightmove predicts 1% rise in UK house prices in 2018,2017-12-11T07:00:15Z,Money
"Cut-price school uniforms, plus do you know who owns your leasehold?",2017-07-13T14:24:48Z,Money
Renewing your RAC cover? Don’t let them jack up the price,2017-06-10T06:00:18Z,Money
Price gap between best and worst energy tariffs widens to £109 on average,2017-07-24T10:34:52Z,Money
Energy price cap likely to go ahead despite warnings of 'timebomb',2017-06-19T15:36:14Z,Money
Can a buyer legally ask to cut agreed offer price?,2017-05-11T06:00:41Z,Money
Tories accused of stealing Labour's energy price cap promise,2017-04-23T11:26:37Z,Money
How to build your grand design for a humble price,2017-05-14T06:00:08Z,Money
"​Some might pray for a house price crash, but be careful what you wish for",2017-08-29T17:13:53Z,Money
Big six energy firms braced for government price crackdown,2017-04-17T15:43:01Z,Money
"House price inflation in April at six-month high, official figures show",2017-06-13T12:20:24Z,Money
Secretary of state for hot air denies the energy price cap fits him,2017-07-03T18:36:27Z,Money
Asda and Morrisons cut petrol prices as oil price plummets,2017-05-05T11:00:27Z,Money
Theresa May is warned: don't break election vow on energy price cap,2017-06-15T11:30:43Z,Money
Revealed: chocolate and drinks shrink since Brexit vote with no price drop,2017-06-01T15:48:46Z,Money
"Average UK house price falls £1,000 since start of year",2017-04-15T07:01:18Z,Money
UK gas and electricity customers face price rise double whammy,2017-04-20T05:59:19Z,Money
"Average asking price for homes in UK hits record high of £317,000",2017-05-22T05:01:14Z,Money
Surely it’s no accident that claims firms have got my phone number,2017-12-11T07:00:15Z,Money
Theresa May to promise price cap on energy bills in Tory manifesto,2017-05-08T23:01:21Z,Money
Tories pinched Labour's energy price cap – but now we need detail,2017-04-25T11:45:14Z,Money
Asking prices for London homes record biggest falls this decade,2017-09-17T23:01:53Z,Money
"House prices rising at fastest rate since start of year, says Halifax",2017-11-07T13:01:06Z,Money
Gina Miller urges FCA investigation into fund management 'price fixing',2017-03-06T15:52:58Z,Money
"Meet the 20-somethings priced out of London, leaving for a new life elsewhere",2017-11-06T07:00:09Z,Money
"Stamp duty cut for first-time buyers will push up prices, warns OBR",2017-11-22T20:31:52Z,Money
House prices stabilise as number of homes on the market falls,2017-08-01T12:13:12Z,Money
Tinsel succumbs to shrinkflation as Tesco cuts it down to size,2017-12-09T08:00:02Z,Money
House prices rise 5% a year in more bad news for would-be buyers,2017-10-17T10:40:37Z,Money
"From energy bills to dental work, it's UK national price hike day",2017-03-31T15:28:54Z,Money
"Average house price at 7.6 times annual salary, official figures show",2017-03-17T12:45:03Z,Money
"UK house prices rising at fastest rate for eight months, says Halifax",2017-10-06T09:42:52Z,Money
The Conservatives' energy price cap is not a strong and stable long-term policy,2017-05-09T09:27:27Z,Money
Room for improvement with Accor’s pricing policy,2017-04-18T06:00:21Z,Money
"Older people face paying £34,000 a year to go into a care home",2017-11-18T07:00:25Z,Money
We want to put our flat on Airbnb – any advice?,2017-08-26T06:00:28Z,Money
"UK energy cap could have been avoided, lobby group says",2017-12-26T14:58:07Z,Money
"Young people worst hit by debt crisis, plus London house prices dive",2017-09-21T14:27:39Z,Money
London house prices may be picking up pace but growth slows in Bristol,2017-08-24T23:01:33Z,Money
UK house prices rise nearly 5% despite political turmoil,2017-07-18T13:05:46Z,Money
May's pledge on 'rip-off' energy prices keeps UK in dark over cap on bills,2017-10-04T16:35:48Z,Money
"UK petrol prices likely to soar owing to Tropical Storm Harvey, says RAC",2017-09-01T12:06:40Z,Money
"Even with price rises, there’s no place like home for bargain-hungry Brits ",2017-02-18T07:00:33Z,Money
