Date,Open,High,Low,Close,Adj_Close,Volume,USD_Index,CPI,Yield_10Y,headline_count,avg_sentiment,std_sentiment,gold_return,gold_rolling_short,gold_rolling_long,gold_lag_1,usd_index_lag_1,sentiment_lag_1,gold_lag_7,usd_index_lag_7,sentiment_lag_7,gold_lag_30,usd_index_lag_30,sentiment_lag_30
2014-01-02,1204.3,1227.3,1204.3,1225.0,1225.0,209.0,80.63,236.468,3.0,1,-0.4404,0.0,0.010938775510204168,1233.1285714285714,1252.54,1225.0,80.63,-0.4404,1225.0,80.63,-0.4404,1225.0,80.63,-0.4404
2014-01-03,1221.7,1239.0,1221.7,1238.4,1238.4,142.0,80.79,236.468,3.01,2,0.0,0.0,0.010938775510204168,1233.1285714285714,1252.54,1225.0,80.63,-0.4404,1225.0,80.63,-0.4404,1225.0,80.63,-0.4404
2014-01-06,1232.8,1247.0,1221.9,1237.8,1237.8,127.0,80.65,236.468,2.98,1,0.743,0.0,-0.00048449612403111963,1233.1285714285714,1252.54,1238.4,80.79,0.0,1225.0,80.63,-0.4404,1225.0,80.63,-0.4404
2014-01-07,1239.3,1242.4,1226.3,1229.4,1229.4,73.0,80.83,236.468,2.96,1,0.0,0.0,-0.0067862336403294865,1233.1285714285714,1252.54,1237.8,80.65,0.743,1225.0,80.63,-0.4404,1225.0,80.63,-0.4404
2014-01-08,1227.5,1227.5,1218.6,1225.3,1225.3,189.0,81.04,236.468,3.01,1,0.0,0.0,-0.003334960143159371,1233.1285714285714,1252.54,1229.4,80.83,0.0,1225.0,80.63,-0.4404,1225.0,80.63,-0.4404
2014-01-09,1225.8,1229.3,1225.8,1229.3,1229.3,7.0,81.01,236.468,2.97,1,0.128,0.0,0.0032645066514322973,1233.1285714285714,1252.54,1225.3,81.04,0.0,1225.0,80.63,-0.4404,1225.0,80.63,-0.4404
2014-01-10,1235.0,1246.8,1234.0,1246.7,1246.7,58.0,80.66,236.468,2.88,0,0.0,0.0,0.01415439681119346,1233.1285714285714,1252.54,1229.3,81.01,0.128,1225.0,80.63,-0.4404,1225.0,80.63,-0.4404
2014-01-13,1250.6,1252.7,1245.5,1250.9,1250.9,46.0,80.51,236.468,2.84,2,-0.27115,0.0973686037693876,0.003368893879842849,1236.8285714285714,1252.54,1246.7,80.66,0.0,1225.0,80.63,-0.4404,1225.0,80.63,-0.4404
2014-01-14,1251.0,1251.3,1242.0,1245.2,1245.2,37.0,80.61,236.468,2.88,1,0.0,0.0,-0.004556719162203238,1237.8,1252.54,1250.9,80.51,-0.27115,1238.4,80.79,0.0,1225.0,80.63,-0.4404
2014-01-15,1243.1,1243.2,1238.1,1238.1,1238.1,68.0,81.0,236.468,2.9,2,-0.5104500000000001,0.1257942963730869,-0.005701895277867131,1237.8428571428572,1252.54,1245.2,80.61,0.0,1237.8,80.65,0.743,1225.0,80.63,-0.4404
